60
10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,85,86,0,162,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,130,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,117,118,0,194,195,0,0,0,0,0,0,0,0,0,0,325,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
325,326,0,162,163,0,0,0,0,0,0,0,0,138,139,180,181,182,0,0,0,0,0,180,181,182,0,162,163,0,0,0,0,0,0,325,326,181,182,181,182,0,0,0,0,0,84,85,86,0,0,0,0,138,139,0,0,0,0,0,
389,390,391,194,195,0,0,0,0,0,0,0,0,170,171,212,213,214,0,0,0,0,0,212,213,214,0,194,195,0,0,0,0,0,389,390,391,213,214,213,214,0,0,0,0,0,116,117,118,0,0,0,0,170,171,0,0,0,0,0,
421,422,423,226,227,0,0,0,0,0,0,0,0,202,203,244,245,246,301,302,0,0,0,244,245,246,0,226,227,301,302,301,302,0,421,422,423,245,246,245,246,0,0,0,0,0,389,390,391,0,0,0,0,202,203,301,302,0,0,0,
453,454,455,258,259,0,0,0,173,174,0,0,0,234,235,276,277,278,333,334,0,0,0,276,277,278,0,258,259,333,334,333,334,0,453,454,455,277,278,277,278,130,131,0,0,0,421,422,423,240,241,242,0,234,235,333,334,0,0,0,
485,486,487,290,291,230,231,232,205,206,272,273,274,266,267,308,309,310,365,366,532,533,534,308,309,310,0,290,291,365,366,365,366,0,485,486,487,309,310,309,310,162,163,230,231,232,389,390,391,272,273,274,0,266,267,365,366,532,533,534,
517,518,519,322,323,262,263,264,237,238,304,305,306,298,299,340,341,342,397,398,564,565,566,340,341,342,0,322,323,397,398,397,398,0,517,518,519,341,342,341,342,194,195,262,263,264,421,422,423,304,305,306,0,298,299,397,398,564,565,566,
560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560

