60
10
418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,175,176,177,178,418,418,418,418,418,418,418,418,156,156,156,156,418,418,418,418,418,262,263,264,265,266,267,
418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,250,251,252,253,418,418,418,418,418,418,418,418,82,83,84,85,418,418,418,418,418,337,338,339,340,341,342,
418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,175,176,177,178,418,418,418,418,418,418,418,418,157,158,159,160,418,418,418,418,418,337,338,339,340,341,342,
418,418,418,418,418,112,113,114,115,116,117,418,418,418,418,418,418,418,418,362,363,363,363,363,363,363,363,363,363,363,418,418,418,250,251,252,253,203,203,203,203,203,203,203,203,232,233,234,235,418,418,418,418,418,262,263,264,265,266,267,
169,170,171,172,173,187,188,189,190,191,192,418,418,418,418,418,418,418,418,215,216,217,218,219,220,221,222,223,224,225,418,418,418,175,176,177,178,179,180,181,182,183,184,185,186,157,158,159,160,418,418,418,418,418,337,338,339,340,341,342,
244,245,246,247,248,262,263,264,265,266,267,418,418,418,418,418,418,418,418,290,291,292,293,294,295,296,297,298,299,300,418,418,418,250,251,252,253,254,255,256,257,258,259,260,261,232,233,234,235,418,418,418,418,418,262,263,264,265,266,267,
319,320,321,322,323,337,338,339,340,341,342,418,418,418,418,418,362,363,364,365,366,367,368,369,370,371,372,373,374,375,418,418,418,325,326,327,328,329,330,331,332,333,334,335,336,307,308,309,310,418,418,418,418,418,337,338,339,340,341,342,
394,395,396,397,398,412,413,414,415,416,417,418,418,418,418,418,437,438,439,440,441,442,443,444,445,446,447,448,449,450,418,418,418,400,401,402,403,404,405,406,407,408,409,410,411,382,383,384,385,418,418,418,418,418,412,413,414,415,416,417,
469,470,471,472,473,487,488,489,490,491,492,467,467,467,467,467,512,513,514,515,516,517,518,519,520,521,522,523,524,525,467,467,467,475,476,477,478,479,480,481,482,483,484,485,486,457,458,459,460,467,467,467,467,467,487,488,489,490,491,492,
542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542

