120
20
11,11,11,11,11,3671,3672,3673,3674,11,11,11,11,11,11,11,11,392,392,392,392,392,392,392,392,3671,3672,3673,3674,392,392,392,392,392,2650,2650,2650,2650,2651,392,392,392,392,392,392,392,392,392,392,392,393,394,395,396,392,392,392,392,392,392,392,392,392,392,3671,3672,3673,3674,392,392,392,392,392,392,392,392,392,392,392,392,3671,3672,3673,3674,392,392,392,392,392,392,392,392,393,394,3671,3672,3673,3674,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,393,394,395,396,397,
11,11,11,11,11,3735,3736,3737,3738,11,11,11,11,11,11,11,11,456,456,456,456,456,456,456,456,3735,3736,3737,3738,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,392,393,3943,3944,3945,456,456,456,456,456,456,456,456,456,456,3735,3736,3737,3738,456,456,456,456,456,456,456,456,456,456,456,456,3735,3736,3821,3822,456,456,456,456,456,456,456,392,392,393,3735,3736,3737,3738,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,392,393,394,395,396,397,
11,11,11,11,11,11,3821,3822,11,11,11,11,11,11,11,11,11,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,392,393,4007,4008,4009,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,3885,3886,520,520,520,520,520,3362,3363,3364,392,393,520,520,520,520,520,520,520,520,520,520,3887,3888,520,520,520,520,520,520,520,520,392,392,393,394,395,396,
11,11,11,11,11,11,3885,3886,11,11,11,11,11,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,393,394,395,396,397,394,395,396,392,393,394,395,396,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,3362,3362,3363,3364,397,397,3949,3950,397,397,397,397,397,397,397,397,397,397,392,393,394,395,396,397,397,397,397,397,3951,3952,397,397,397,397,397,397,397,397,397,397,397,397,397,397,
11,11,11,11,11,11,3949,3950,11,11,3431,3876,3876,3876,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,457,458,459,460,461,394,395,396,392,393,394,395,396,397,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,3362,3363,3364,461,4013,4014,461,461,461,461,461,461,461,461,461,392,392,393,394,395,396,397,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,
11,11,11,11,11,11,4013,4014,11,11,11,3876,3876,3876,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,521,522,523,524,525,394,395,396,392,393,394,395,396,397,525,525,525,525,525,525,525,525,525,525,392,392,392,392,392,392,392,3362,3363,3364,392,392,4077,4078,392,392,392,392,392,392,392,392,392,456,456,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,393,394,395,3362,3363,3364,525,
11,11,11,11,11,11,4077,4078,11,11,11,11,11,520,521,522,523,524,525,461,397,397,397,397,397,397,397,397,397,397,3887,3888,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,392,392,392,392,392,392,392,392,392,392,392,3362,3363,3364,392,392,456,456,456,456,456,456,456,456,456,456,456,456,4141,4142,456,392,393,394,395,396,397,397,397,520,520,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,392,392,3362,3363,3364,3363,3364,396,
11,11,11,11,11,11,4141,4142,11,11,11,11,11,520,521,522,523,524,525,525,461,461,461,461,461,461,461,461,461,461,3951,393,394,395,396,397,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,520,520,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,520,520,520,520,392,393,394,395,396,397,397,397,397,397,397,397,397,397,397,3362,3363,3364,397,397,397,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,520,392,392,393,394,395,396,397,525,525,525,525,525,525,525,525,456,457,458,459,460,461,525,525,525,525,525,525,525,525,392,392,393,394,395,396,397,525,525,525,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,521,522,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,392,393,394,395,396,392,393,3699,3700,3701,3702,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,
3695,3695,3695,3695,3695,11,11,11,11,11,11,11,11,11,11,456,392,392,392,392,392,392,392,392,392,392,393,394,395,396,520,521,522,392,392,392,392,392,392,392,392,392,392,392,392,393,394,395,396,397,397,4635,4636,4636,4636,4637,392,392,393,394,395,396,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,3559,3560,3763,3764,3765,3766,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,
